customer_id,signup_ts,country,segment,marketing_opt_in
C000001,2026-01-08 16:13:47.159993,VN,bronze,True
C000002,2026-05-11 22:09:21.159993,KR,bronze,True
C000003,2026-04-20 10:24:53.159993,VN,bronze,False
C000004,2026-03-12 14:37:14.159993,VN,bronze,False
C000005,2026-03-11 13:17:29.159993,VN,bronze,True
C000006,2026-05-27 03:48:31.159993,VN,bronze,True
C000007,2026-01-08 01:57:03.159993,VN,silver,False
C000008,2026-04-28 03:17:44.159993,VN,bronze,False
C000009,2026-01-28 21:00:51.159993,VN,bronze,True
C000010,2026-01-09 13:30:43.159993,VN,silver,True
C000011,2026-03-28 09:03:18.159993,VN,gold,True
C000012,2026-06-17 05:21:15.159993,VN,bronze,True
C000013,2026-05-05 01:06:57.159993,VN,gold,True
C000014,2026-05-09 14:47:21.159993,VN,silver,True
C000015,2026-05-01 18:10:03.159993,VN,silver,True
C000016,2026-05-14 02:27:49.159993,VN,silver,False
C000017,2026-03-25 23:48:16.159993,VN,silver,True
C000018,2026-01-15 16:07:00.159993,JP,bronze,True
C000019,2026-05-23 18:22:41.159993,VN,gold,True
C000020,2026-03-14 16:19:59.159993,VN,bronze,True
C000021,2026-03-23 16:11:09.159993,VN,bronze,True
C000022,2026-02-28 08:30:47.159993,VN,silver,True
C000023,2026-01-25 11:16:48.159993,VN,silver,True
C000024,2026-06-08 10:17:26.159993,VN,bronze,True
C000025,2026-05-13 07:02:14.159993,VN,silver,False
C000026,2026-04-18 12:09:47.159993,VN,silver,True
C000027,2026-03-06 01:05:45.159993,VN,bronze,False
C000028,2026-05-20 16:59:45.159993,VN,bronze,False
C000029,2026-03-31 18:55:10.159993,VN,bronze,False
C000030,2026-03-13 10:12:54.159993,VN,silver,True
C000031,2026-03-14 16:39:03.159993,VN,bronze,True
C000032,2026-02-02 12:20:13.159993,VN,bronze,True
C000033,2026-01-09 04:41:34.159993,VN,silver,True
C000034,2026-04-02 10:28:19.159993,VN,bronze,True
C000035,2026-06-01 10:20:59.159993,VN,gold,False
C000036,2026-01-04 02:21:22.159993,VN,silver,True
C000037,2026-05-27 02:29:03.159993,VN,bronze,False
C000038,2026-05-21 14:01:56.159993,VN,silver,True
C000039,2026-02-11 10:16:03.159993,VN,silver,True
C000040,2026-04-16 07:27:21.159993,VN,bronze,True
C000041,2026-01-22 08:27:19.159993,VN,bronze,True
C000042,2026-05-09 01:36:17.159993,VN,bronze,True
C000043,2026-04-28 16:55:30.159993,VN,bronze,True
C000044,2026-02-25 10:13:04.159993,VN,bronze,True
C000045,2026-01-04 20:04:48.159993,VN,silver,True
C000046,2026-06-16 08:04:52.159993,VN,bronze,True
C000047,2026-03-13 20:02:08.159993,VN,silver,False
C000048,2026-06-02 08:56:56.159993,VN,gold,True
C000049,2026-04-24 15:16:33.159993,VN,bronze,True
C000050,2026-05-12 17:16:57.159993,VN,bronze,True
C000051,2026-05-09 09:25:53.159993,VN,bronze,True
C000052,2026-01-27 15:30:18.159993,VN,silver,True
