order_item_id,order_id,product_id,quantity,unit_price,discount,line_total
OI000000001,O002774,P000095,10,1267.28,348.27,12324.529999999999
OI000000002,O001720,P000178,10,1190.26,154.21,11748.390000000001
OI000000003,O002195,P000270,10,380.64,25.4,3780.9999999999995
OI000000004,O001586,P000445,9,15.37,1.01,137.32
OI000000005,O001596,P000339,9,780.43,170.54,6853.33
OI000000006,O002291,P000878,7,1375.57,1.33,9627.66
OI000000007,O002119,P000660,10,722.67,124.39,7102.3099999999995
OI000000008,O002436,P000658,3,1009.91,256.36,2773.37
OI000000009,O001688,P000892,1,19.01,2.27,16.740000000000002
OI000000010,O001531,P000855,5,1185.68,2.05,5926.35
OI000000011,O001272,P000764,1,71.15,9.62,61.53000000000001
OI000000012,O002339,P000615,9,811.64,152.53,7152.2300000000005
OI000000013,O001700,P000105,7,780.41,123.21,5339.66
OI000000014,O002389,P000722,6,455.23,24.4,2706.98
OI000000015,O002330,P000499,7,253.05,45.87,1725.4800000000002
OI000000016,O001785,P000461,10,92.03,0.87,919.43
OI000000017,O000845,P000844,9,459.84,43.13,4095.4299999999994
OI000000018,O001226,P000444,1,777.75,184.9,592.85
OI000000019,O001611,P000161,2,273.91,36.45,511.37000000000006
OI000000020,O002014,P000196,1,232.25,0.99,231.26
OI000000021,O001540,P000341,9,15.39,4.4,134.10999999999999
OI000000022,O001883,P000617,7,982.53,247.09,6630.62
OI000000023,O002462,P000634,3,1987.65,496.29,5466.660000000001
OI000000024,O002521,P000206,10,1585.25,119.99,15732.51
OI000000025,O000359,P000334,6,1110.66,54.24,6609.720000000001
OI000000026,O002173,P000367,10,256.53,63.1,2502.2
OI000000027,O002818,P000616,5,1001.09,185.16,4820.29
OI000000028,O001588,P000864,9,723.69,105.37,6407.840000000001
OI000000029,O001718,P000318,4,1732.19,69.07,6859.6900000000005
OI000000030,O002893,P000294,4,676.78,47.87,2659.25
OI000000031,O001463,P000353,4,397.84,47.79,1543.57
OI000000032,O001407,P000701,6,847.69,196.78,4889.360000000001
OI000000033,O001248,P000753,8,691.62,142.12,5390.84
OI000000034,O002434,P000864,8,723.69,150.13,5639.39
OI000000035,O002304,P000145,7,2.73,0.14,18.97
OI000000036,O002596,P000182,2,1372.23,200.46,2544.0
OI000000037,O001086,P000433,5,353.66,31.34,1736.9600000000003
OI000000038,O001890,P001000,7,191.78,44.29,1298.17
OI000000039,O002534,P000177,5,256.27,70.68,1210.6699999999998
OI000000040,O000141,P000558,7,700.68,114.49,4790.2699999999995
OI000000041,O001282,P001000,3,191.78,21.47,553.87
OI000000042,O000165,P000577,2,18.66,5.1,32.22
OI000000043,O000888,P000796,9,609.16,181.04,5301.4
OI000000044,O000360,P000592,3,371.17,12.89,1100.62
OI000000045,O001251,P000599,3,308.14,67.57,856.8499999999999
OI000000046,O002107,P000985,9,749.97,31.43,6718.3
OI000000047,O001236,P000131,1,29.85,3.02,26.830000000000002
OI000000048,O000133,P000547,3,122.18,25.74,340.8
OI000000049,O001022,P000647,4,753.4,0.23,3013.37
OI000000050,O002101,P000265,8,76.77,7.39,606.77
OI000000051,O002437,P000645,3,1972.5,485.3,5432.2
OI000000052,O001260,P000469,7,927.16,101.01,6389.11
OI000000053,O002782,P000451,2,1164.33,195.91,2132.75
OI000000054,O001109,P000701,9,847.69,26.11,7603.100000000001
OI000000055,O000190,P000091,5,56.35,8.74,273.01
OI000000056,O000462,P000107,5,303.72,63.18,1455.42
OI000000057,O001663,P000557,7,37.77,5.48,258.91
OI000000058,O000320,P000182,2,1372.23,398.14,2346.32
OI000000059,O000540,P000571,7,971.97,218.36,6585.43
OI000000060,O000377,P000359,3,17.82,2.05,51.410000000000004
OI000000061,O000931,P000866,5,920.6,183.93,4419.07
OI000000062,O002334,P000317,6,409.42,85.24,2371.28
OI000000063,O002544,P000663,3,416.43,85.17,1164.12
OI000000064,O000524,P000851,7,213.39,49.15,1444.58
OI000000065,O000584,P000814,7,1318.54,64.93,9164.849999999999
OI000000066,O002130,P000297,7,144.92,2.32,1012.1199999999999
OI000000067,O000791,P000743,5,1834.29,272.86,8898.59
OI000000068,O002106,P000757,9,330.69,87.36,2888.85
OI000000069,O001313,P000410,7,1774.59,355.91,12066.22
OI000000070,O001569,P000199,9,1837.59,231.38,16306.929999999998
OI000000071,O002624,P000599,4,308.14,27.62,1204.94
OI000000072,O002882,P000482,6,720.13,1.48,4319.3
OI000000073,O002221,P000338,6,402.46,11.44,2403.3199999999997
OI000000074,O001120,P000834,8,1995.64,306.84,15658.28
OI000000075,O000520,P000877,7,1494.67,8.92,10453.77
OI000000076,O000107,P000661,4,499.43,142.95,1854.77
OI000000077,O000054,P000952,8,1174.25,21.4,9372.6
OI000000078,O001487,P000416,2,1137.53,286.12,1988.94
OI000000079,O001133,P000520,10,809.94,16.55,8082.85
OI000000080,O000608,P000484,2,768.71,110.39,1427.03
OI000000081,O000096,P000244,9,1072.6,210.94,9442.46
OI000000082,O000373,P000641,3,1031.81,14.2,3081.23
OI000000083,O000978,P000180,3,922.37,171.55,2595.56
OI000000084,O002978,P000959,7,1273.64,158.29,8757.19
OI000000085,O002775,P000740,5,222.9,37.99,1076.51
OI000000086,O001076,P000833,6,269.1,2.41,1612.19
OI000000087,O002568,P000972,1,1944.33,97.01,1847.32
OI000000088,O002077,P000552,2,682.23,147.31,1217.15
OI000000089,O002660,P000411,1,798.36,58.76,739.6
OI000000090,O000631,P000447,7,601.01,171.86,4035.2099999999996
OI000000091,O002394,P000473,7,1794.25,289.91,12269.84
OI000000092,O000041,P000325,7,76.46,11.58,523.6399999999999
OI000000093,O001191,P000365,5,47.53,6.61,231.04
