order_id,customer_id,order_timestamp,status,shipping_city,shipping_method,coupon_code
O000001,C000667,2026-04-10 05:50:36.159993,completed,Ho Chi Minh City,standard,
O000002,C000123,2026-05-21 13:05:23.159993,completed,Ho Chi Minh City,standard,
O000003,C000820,2026-06-21 11:17:40.159993,completed,Ho Chi Minh City,same_day,SAVEUPTO20
O000004,C000259,2026-02-02 06:18:19.159993,completed,Ho Chi Minh City,,
O000005,C000666,2026-06-01 22:30:40.159993,completed,Ho Chi Minh City,standard,
O000006,C000406,2026-04-16 03:16:51.159993,completed,Ho Chi Minh City,express,
O000007,C000089,2026-05-17 20:53:47.159993,completed,Ho Chi Minh City,standard,
O000008,C000970,2026-06-05 15:04:56.159993,completed,Ho Chi Minh City,standard,
O000009,C000535,2026-06-17 16:53:45.159993,cancelled,Ho Chi Minh City,express,
O000010,C000163,2026-03-18 01:52:20.159993,completed,Ho Chi Minh City,,
O000011,C000995,2026-04-11 18:20:28.159993,completed,Ho Chi Minh City,express,
O000012,C000858,2026-03-22 17:35:45.159993,completed,Ho Chi Minh City,,
O000013,C000018,2026-01-31 23:39:47.159993,completed,Ho Chi Minh City,,
O000014,C000164,2026-03-20 02:35:50.159993,completed,Da Nang,,
O000015,C000102,2026-03-23 07:45:54.159993,completed,Ho Chi Minh City,,
O000016,C000338,2026-04-28 14:11:11.159993,completed,Ho Chi Minh City,standard,
O000017,C000403,2026-03-18 12:18:30.159993,completed,Ho Chi Minh City,,
O000018,C000678,2026-05-07 20:11:34.159993,completed,Ho Chi Minh City,standard,
O000019,C000734,2026-05-17 07:35:39.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000020,C000617,2026-03-17 07:18:45.159993,completed,Ho Chi Minh City,,
O000021,C000442,2026-02-25 08:02:05.159993,completed,Ho Chi Minh City,,
O000022,C000955,2026-06-17 16:00:55.159993,completed,Hanoi,express,
O000023,C000375,2026-06-07 04:22:10.159993,completed,Hanoi,standard,
O000024,C000412,2026-04-11 18:07:00.159993,returned,Ho Chi Minh City,express,
O000025,C000402,2026-06-20 21:16:53.159993,returned,Ho Chi Minh City,same_day,
O000026,C000940,2026-05-27 01:07:07.159993,completed,Can Tho,standard,
O000027,C000988,2026-03-12 06:04:00.159993,completed,Ho Chi Minh City,,
O000028,C000927,2026-04-25 22:47:53.159993,completed,Ho Chi Minh City,standard,
O000029,C000587,2026-06-07 17:21:52.159993,completed,Ho Chi Minh City,standard,
O000030,C000716,2026-06-05 13:14:29.159993,returned,Hanoi,standard,
O000031,C000412,2026-05-25 06:30:43.159993,completed,Bien Hoa,same_day,SAVEUPTO20
O000032,C000020,2026-04-24 16:33:09.159993,completed,Can Tho,standard,
O000033,C000592,2026-06-13 03:55:35.159993,completed,Ho Chi Minh City,same_day,
O000034,C000798,2026-05-05 11:37:00.159993,completed,Da Nang,standard,
O000035,C000109,2026-04-10 20:47:25.159993,completed,Ho Chi Minh City,standard,
O000036,C000901,2026-02-24 08:04:46.159993,completed,Ho Chi Minh City,,
O000037,C000544,2026-03-12 01:17:01.159993,completed,Ho Chi Minh City,,
O000038,C000524,2026-06-15 23:04:31.159993,completed,Ho Chi Minh City,standard,
O000039,C000854,2026-03-17 18:33:35.159993,completed,Bien Hoa,,
O000040,C000198,2026-04-09 07:51:09.159993,completed,Ho Chi Minh City,standard,
O000041,C000969,2026-06-16 03:58:10.159993,completed,Ho Chi Minh City,standard,
O000042,C000181,2026-06-11 17:38:19.159993,completed,Ho Chi Minh City,same_day,SAVEUPTO20
O000043,C000742,2026-06-20 01:25:03.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000044,C000846,2026-02-02 05:38:13.159993,completed,Ho Chi Minh City,,
O000045,C000653,2026-02-01 13:16:32.159993,completed,Ho Chi Minh City,,
O000046,C000088,2026-06-19 17:08:01.159993,completed,Ho Chi Minh City,express,
O000047,C000693,2026-06-17 07:00:12.159993,cancelled,Ho Chi Minh City,same_day,
O000048,C000547,2026-03-12 17:59:19.159993,completed,Ho Chi Minh City,,
