payment_id,order_id,payment_timestamp,amount,payment_method,payment_status
PAY000001,O000001,2026-05-16 14:48:53.159993,15982.94,credit_card,failed
PAY000002,O000002,2026-06-18 16:17:11.159993,4345.07,credit_card,paid
PAY000003,O000003,2026-06-21 12:02:02.159993,22123.11,e_wallet,paid
PAY000004,O000004,2026-02-13 00:34:46.159993,16162.99,credit_card,paid
PAY000005,O000005,2026-06-12 17:50:34.159993,5122.32,credit_card,paid
PAY000006,O000006,2026-05-04 06:08:04.159993,3919.49,credit_card,refunded
PAY000007,O000007,2026-05-26 12:28:48.159993,0.0,cod,failed
PAY000008,O000008,2026-06-15 13:36:49.159993,11552.44,credit_card,paid
PAY000009,O000009,2026-06-18 05:48:47.159993,32122.78,credit_card,paid
PAY000010,O000010,2026-06-15 07:24:23.159993,6191.43,bank_transfer,paid
PAY000011,O000011,2026-06-07 14:33:17.159993,289.44,e_wallet,paid
PAY000012,O000012,2026-03-30 10:52:14.159993,2716.73,e_wallet,paid
PAY000013,O000013,2026-05-19 17:56:58.159993,9573.52,bank_transfer,paid
PAY000014,O000014,2026-05-17 22:37:55.159993,12187.75,e_wallet,paid
PAY000015,O000015,2026-06-04 07:49:50.159993,12105.58,credit_card,paid
PAY000016,O000016,2026-06-09 11:41:57.159993,5157.47,cod,paid
PAY000017,O000017,2026-04-09 19:54:00.159993,9462.84,credit_card,paid
PAY000018,O000018,2026-05-30 17:43:30.159993,0.0,credit_card,paid
PAY000019,O000019,2026-06-02 12:25:04.159993,13255.35,e_wallet,paid
PAY000020,O000020,2026-05-28 09:22:41.159993,8995.25,credit_card,paid
PAY000021,O000021,2026-05-20 16:19:04.159993,8294.09,credit_card,paid
PAY000022,O000022,2026-06-21 03:21:15.159993,26283.24,credit_card,paid
PAY000023,O000023,2026-06-15 10:29:46.159993,0.0,cod,paid
PAY000024,O000024,2026-05-17 02:56:24.159993,6282.0,credit_card,paid
PAY000025,O000025,2026-06-21 06:14:06.159993,28930.32,cod,refunded
PAY000026,O000026,2026-06-16 08:49:49.159993,14348.79,e_wallet,failed
PAY000027,O000027,2026-05-29 20:15:04.159993,320.07,credit_card,paid
PAY000028,O000028,2026-04-29 01:49:30.159993,997.94,credit_card,paid
PAY000029,O000029,2026-06-16 09:14:01.159993,15711.55,credit_card,refunded
PAY000030,O000030,2026-06-17 06:44:22.159993,6905.48,credit_card,failed
