product_id,category,brand,base_price,is_active,created_ts
P000001,electronics,Samsung,708.94,True,2026-02-12 10:11:25.159993
P000002,electronics,Sony,1734.43,True,2026-02-22 07:31:50.159993
P000003,electronics,Apple,353.8,True,2026-02-12 16:36:28.159993
P000004,home_living,Home Depot,971.97,True,2026-06-21 01:18:59.159993
P000005,electronics,LG,1877.25,True,2026-05-24 17:38:24.159993
P000006,electronics,LG,1376.48,True,2026-05-06 23:16:35.159993
P000007,electronics,Dell,405.69,False,2026-06-19 12:43:04.159993
P000008,electronics,Samsung,1423.64,True,2026-04-28 12:17:40.159993
P000009,electronics,Dell,1829.84,True,2026-02-28 00:05:06.159993
P000010,electronics,Apple,503.17,True,2026-06-06 12:11:25.159993
P000011,grocery,Kroger,20.96,True,2026-03-26 05:03:27.159993
P000012,sports,Nike,127.53,True,2026-03-25 14:50:21.159993
P000013,electronics,Samsung,627.66,True,2026-03-24 15:25:53.159993
P000014,electronics,LG,583.15,False,2026-04-30 14:37:36.159993
P000015,electronics,LG,1818.5,True,2026-04-24 10:31:14.159993
P000016,electronics,Apple,839.54,True,2026-04-28 08:33:08.159993
P000017,electronics,LG,449.39,False,2026-06-05 10:01:58.159993
P000018,grocery,Costco,9.09,True,2026-02-13 15:04:44.159993
P000019,home_living,Lowe's,896.65,True,2026-02-10 04:13:17.159993
P000020,electronics,Apple,628.21,True,2026-06-17 01:52:42.159993
P000021,electronics,LG,1233.2,True,2026-05-19 05:49:43.159993
P000022,books,Penguin,40.0,True,2026-01-02 17:01:10.159993
P000023,electronics,Sony,1958.73,False,2026-04-15 10:58:18.159993
P000024,books,Penguin,66.96,True,2026-02-02 16:48:15.159993
P000025,toys,Hasbro,206.32,True,2026-04-27 01:33:23.159993
P000026,electronics,Samsung,1337.21,True,2026-03-22 10:42:22.159993
P000027,electronics,Dell,541.67,True,2026-03-01 11:57:41.159993
P000028,electronics,LG,1328.0,True,2026-04-23 16:57:29.159993
P000029,electronics,Apple,1194.26,True,2026-06-05 11:17:55.159993
P000030,electronics,Apple,1474.37,True,2026-03-15 17:42:25.159993
P000031,electronics,Dell,559.35,True,2026-04-24 10:53:24.159993
P000032,electronics,Samsung,671.75,True,2026-05-17 15:15:42.159993
P000033,electronics,Apple,265.77,True,2026-06-20 08:56:20.159993
P000034,electronics,LG,1185.61,True,2026-04-19 17:20:20.159993
P000035,electronics,LG,611.08,True,2026-05-22 07:11:10.159993
P000036,electronics,Samsung,434.19,False,2026-01-03 01:45:38.159993
P000037,electronics,Sony,1590.88,True,2026-06-11 07:29:26.159993
P000038,electronics,Sony,851.35,True,2025-12-31 13:50:29.159993
P000039,electronics,Sony,998.6,True,2026-02-26 01:28:29.159993
P000040,electronics,Apple,556.9,True,2026-04-04 10:18:23.159993
P000041,electronics,Samsung,834.66,True,2026-04-03 06:01:58.159993
P000042,electronics,Sony,1689.48,True,2026-04-30 01:30:13.159993
P000043,electronics,Apple,1704.4,True,2026-05-22 15:34:47.159993
P000044,electronics,Samsung,677.5,True,2026-05-22 12:24:13.159993
P000045,electronics,Sony,1873.28,True,2026-04-14 14:45:34.159993
P000046,electronics,Samsung,1555.11,True,2026-01-29 01:14:27.159993
P000047,electronics,Apple,233.35,False,2026-04-11 19:46:43.159993
P000048,home_living,IKEA,494.03,True,2026-01-22 19:08:55.159993
P000049,electronics,LG,1839.93,True,2026-02-22 16:22:47.159993
P000050,electronics,Samsung,563.1,True,2026-03-03 05:35:05.159993
P000051,electronics,Samsung,805.96,True,2026-03-12 10:52:49.159993
P000052,electronics,Samsung,1644.34,True,2026-03-27 10:49:16.159993
P000053,electronics,Apple,918.6,True,2026-05-25 15:27:51.159993
P000054,electronics,Samsung,1664.6,True,2026-03-23 00:27:56.159993
P000055,electronics,Sony,1701.66,True,2025-12-27 19:52:16.159993
P000056,home_living,Lowe's,1443.17,False,2026-03-19 02:30:33.159993
P000057,electronics,Sony,965.3,True,2026-04-18 13:21:09.159993
P000058,electronics,Dell,1167.45,True,2026-05-22 14:44:08.159993
P000059,fashion,Uniqlo,150.35,True,2026-05-14 06:50:24.159993
P000060,electronics,Sony,1525.07,True,2026-05-21 05:56:18.159993
P000061,home_living,Wayfair,1202.79,True,2026-02-09 10:03:59.159993
P000062,electronics,Samsung,512.56,True,2025-12-29 02:05:36.159993
P000063,electronics,Samsung,211.84,True,2026-02-07 11:05:17.159993
P000064,electronics,Dell,1406.61,True,2025-12-24 12:10:36.159993
P000065,electronics,Samsung,509.27,True,2026-02-26 08:43:02.159993
P000066,electronics,Apple,1208.64,True,2026-03-20 10:08:10.159993
P000067,electronics,Samsung,624.13,True,2026-05-25 15:41:01.159993
P000068,beauty,L'Oreal,146.58,True,2026-05-11 15:23:05.159993
P000069,home_living,IKEA,810.99,True,2026-02-27 19:01:15.159993
P000070,electronics,LG,1035.7,True,2026-01-10 21:38:12.159993
P000071,electronics,Sony,1107.76,True,2026-01-27 20:59:01.159993
P000072,electronics,Dell,809.43,True,2026-04-16 16:50:23.159993
P000073,books,HarperCollins,18.7,True,2026-04-04 23:00:34.159993
P000074,beauty,Clinique,254.86,False,2026-04-27 08:11:48.159993
P000075,electronics,Apple,1725.0,True,2026-05-28 03:26:26.159993
P000076,electronics,Samsung,1993.18,True,2026-04-27 09:42:48.159993
P000077,home_living,Wayfair,118.6,True,2026-04-09 16:17:51.159993
P000078,electronics,Apple,1648.51,True,2026-05-19 12:50:55.159993
P000079,electronics,Dell,475.92,True,2026-03-24 09:15:52.159993
P000080,electronics,Apple,1094.09,False,2026-01-21 15:31:20.159993
P000081,electronics,Samsung,113.79,True,2026-06-16 08:56:47.159993
P000082,electronics,Samsung,384.31,True,2026-05-22 16:14:40.159993
P000083,beauty,L'Oreal,80.73,True,2026-05-29 18:00:16.159993
P000084,electronics,Sony,398.93,True,2026-04-29 06:04:31.159993
P000085,fashion,Nike,311.52,True,2026-04-25 22:18:09.159993
P000086,electronics,LG,596.33,True,2026-06-03 19:59:04.159993
P000087,electronics,Sony,437.07,True,2026-01-24 20:51:12.159993
P000088,electronics,Apple,316.13,True,2026-01-25 13:05:39.159993
P000089,electronics,LG,1258.98,True,2026-05-23 08:42:05.159993
P000090,electronics,Samsung,911.3,True,2026-04-12 19:52:15.159993
P000091,books,Simon & Schuster,56.35,True,2026-05-02 01:37:29.159993
P000092,electronics,Samsung,547.84,True,2026-03-01 17:27:11.159993
P000093,electronics,Apple,1669.16,True,2026-05-10 01:50:25.159993
P000094,electronics,LG,477.6,True,2026-03-10 19:39:41.159993
P000095,electronics,Samsung,1267.28,True,2026-05-09 05:47:29.159993
P000096,toys,Fisher-Price,372.33,True,2026-06-19 08:58:48.159993
P000097,electronics,Sony,1499.25,True,2026-04-06 07:27:53.159993
P000098,electronics,Dell,1762.8,True,2026-01-30 05:07:11.159993
P000099,electronics,Dell,1700.25,True,2026-05-18 08:54:50.159993
P000100,electronics,Samsung,487.73,True,2026-06-17 00:24:31.159993
P000101,electronics,Apple,106.37,True,2026-03-07 19:18:54.159993
P000102,books,Penguin,44.65,True,2026-01-18 04:07:02.159993
P000103,grocery,Whole Foods,35.47,True,2026-02-10 21:41:17.159993
P000104,electronics,Dell,373.15,False,2026-01-19 08:48:08.159993
P000105,electronics,Apple,780.41,False,2026-04-19 14:36:27.159993
P000106,electronics,Apple,654.84,True,2026-04-08 05:56:35.159993
P000107,electronics,Sony,303.72,True,2026-04-11 05:33:02.159993
P000108,electronics,Apple,122.16,True,2026-03-12 02:45:14.159993
P000109,books,Penguin,91.86,True,2026-03-03 13:02:37.159993
P000110,electronics,Samsung,1933.44,True,2026-05-24 16:08:19.159993
P000111,electronics,Sony,1817.6,True,2026-02-02 21:32:16.159993
P000112,electronics,Apple,1915.88,True,2026-03-30 13:40:54.159993
P000113,electronics,Apple,1736.82,True,2026-05-21 06:01:14.159993
P000114,electronics,LG,133.13,True,2026-06-06 03:25:12.159993
P000115,books,Penguin,37.57,True,2026-04-07 23:20:15.159993
P000116,electronics,Samsung,623.48,True,2026-03-17 07:14:15.159993
P000117,beauty,Nivea,278.66,True,2026-03-08 00:11:38.159993
P000118,electronics,Sony,1067.21,True,2026-05-27 13:27:16.159993
P000119,electronics,Sony,1333.68,True,2026-01-28 01:31:34.159993
P000120,grocery,Costco,18.57,True,2026-05-23 23:12:42.159993
P000121,electronics,Samsung,1866.2,True,2026-04-19 04:51:28.159993
P000122,electronics,Dell,1945.52,False,2026-03-02 00:28:11.159993
P000123,electronics,Sony,1233.06,True,2026-03-29 11:20:09.159993
P000124,electronics,Samsung,662.53,True,2026-05-28 10:49:08.159993
P000125,electronics,Dell,563.96,True,2026-01-14 09:28:30.159993
P000126,electronics,Apple,602.62,True,2026-04-27 14:11:04.159993
P000127,books,Simon & Schuster,94.06,True,2026-01-24 14:13:56.159993
P000128,electronics,Apple,538.17,True,2025-12-25 12:15:37.159993
P000129,electronics,Samsung,1756.87,True,2026-04-06 13:25:00.159993
P000130,books,Penguin,21.09,True,2026-03-24 11:04:09.159993
P000131,grocery,Costco,29.85,True,2026-04-24 11:10:26.159993
P000132,electronics,Sony,1097.12,True,2025-12-26 02:43:16.159993
P000133,electronics,LG,1130.53,False,2026-02-12 13:27:53.159993
P000134,electronics,Apple,1280.87,True,2026-01-02 20:06:13.159993
P000135,electronics,LG,1752.72,True,2026-05-14 02:08:54.159993
P000136,electronics,Apple,1094.77,True,2026-02-21 06:27:22.159993
P000137,electronics,Samsung,1305.73,True,2026-05-04 02:24:18.159993
P000138,home_living,Home Depot,742.8,True,2026-01-24 02:29:29.159993
P000139,electronics,LG,1764.18,True,2026-02-17 05:46:59.159993
P000140,electronics,Samsung,982.04,True,2026-04-03 02:58:09.159993
P000141,electronics,Samsung,1728.79,True,2026-01-26 18:18:04.159993
P000142,electronics,Sony,1364.85,True,2026-06-03 09:52:53.159993
P000143,electronics,Dell,898.04,True,2026-05-08 03:32:18.159993
P000144,electronics,Dell,995.44,True,2026-01-17 12:10:37.159993
P000145,grocery,Aldi,2.73,True,2026-04-29 03:07:27.159993
P000146,electronics,Samsung,710.88,True,2026-03-30 07:49:56.159993
P000147,books,Penguin,45.28,True,2026-03-11 17:26:06.159993
P000148,electronics,Sony,1228.6,True,2026-03-18 20:50:08.159993
P000149,fashion,Adidas,21.16,True,2026-04-13 16:55:18.159993
P000150,electronics,Apple,1591.64,True,2026-01-05 03:20:26.159993
P000151,electronics,Samsung,711.98,True,2026-04-29 02:37:33.159993
P000152,fashion,H&M,68.04,True,2026-04-21 07:22:51.159993
P000153,electronics,Dell,1133.43,True,2026-04-09 01:48:05.159993
P000154,electronics,LG,378.8,True,2026-04-05 10:28:43.159993
P000155,electronics,Apple,1456.93,False,2026-03-07 01:35:40.159993
P000156,electronics,Apple,554.7,False,2026-04-30 17:46:56.159993
P000157,electronics,Sony,1411.2,True,2026-02-14 16:14:49.159993
P000158,electronics,Apple,1994.69,True,2026-02-13 15:43:13.159993
P000159,home_living,Wayfair,761.6,True,2026-04-29 12:04:10.159993
P000160,electronics,Apple,122.22,True,2026-02-14 19:14:38.159993
P000161,home_living,Lowe's,273.91,True,2026-06-18 20:04:09.159993
P000162,toys,LEGO,140.8,True,2026-03-15 22:39:41.159993
P000163,toys,LEGO,214.31,True,2026-05-10 05:57:30.159993
P000164,electronics,Sony,1534.92,True,2026-03-23 11:06:53.159993
P000165,electronics,Samsung,1110.52,True,2026-02-06 12:16:06.159993
P000166,home_living,Home Depot,1189.26,True,2026-04-21 21:21:14.159993
P000167,electronics,Dell,465.82,True,2026-05-11 07:40:49.159993
P000168,fashion,Nike,139.17,True,2026-04-11 18:07:15.159993
P000169,electronics,LG,582.43,True,2026-06-20 19:09:09.159993
P000170,electronics,Samsung,808.52,True,2026-02-17 05:52:39.159993
P000171,electronics,Sony,1191.32,False,2026-04-26 13:47:24.159993
P000172,electronics,Apple,598.48,True,2026-04-25 02:20:16.159993
P000173,electronics,Samsung,1705.15,True,2026-04-27 13:10:29.159993
P000174,grocery,Whole Foods,3.71,True,2026-03-20 01:31:25.159993
P000175,electronics,Dell,524.31,True,2026-01-07 01:05:52.159993
P000176,electronics,Samsung,1380.48,False,2026-01-05 11:21:51.159993
P000177,electronics,Apple,256.27,True,2026-03-08 15:06:34.159993
P000178,electronics,Dell,1190.26,True,2026-04-06 11:28:47.159993
P000179,electronics,Samsung,1746.85,True,2026-04-10 00:14:49.159993
P000180,electronics,Sony,922.37,True,2026-04-03 04:33:10.159993
P000181,electronics,Dell,794.31,True,2026-01-25 10:35:04.159993
P000182,electronics,Apple,1372.23,True,2026-03-29 23:11:02.159993
P000183,electronics,Dell,1753.7,False,2026-01-06 21:24:20.159993
P000184,electronics,Dell,127.09,True,2026-02-02 23:30:41.159993
P000185,electronics,Apple,643.85,True,2026-06-05 00:17:55.159993
P000186,electronics,Samsung,148.72,False,2025-12-27 17:37:15.159993
P000187,electronics,Samsung,362.53,True,2026-01-15 23:03:40.159993
P000188,electronics,LG,1044.04,True,2026-01-11 04:35:35.159993
P000189,electronics,Apple,1389.24,True,2026-01-23 08:39:00.159993
P000190,electronics,Samsung,560.65,True,2026-02-09 12:42:20.159993
P000191,electronics,LG,1898.07,True,2026-01-24 04:29:03.159993
